subject,part,inc,house,edu,inc2,ses,split,resort,wtp,weber,go,,,,,,,,
851,6mGGovzyvCU9EmqDy4bbMw**,0,2,0,5000,3535.533906,0,0,1,2,1,,,,,,,,
405,6mGGovzyvCUd7r9jSP5rzg**,7,1,4,75000,75000,1,0,1,1,1,,,,,,,,
438,6mGGovzyvCUDxn_4kIgBjQ**,10,2,4,125000,88388.34765,1,1,1,1,1,,,,,,,,
101,6mGGovzyvCUK9ZGRj5fJrw**,2,3,3,25000,14433.75673,0,1,1,0,1,,,,,,,,
742,6mGGovzyvCUNkwEJcr5EVw**,10,2,6,125000,88388.34765,1,0,1,2,0,,,,,,,,
934,6mGGovzyvCUP1YJOjqbGfg**,9,3,1,95000,54848.27557,1,0,1,1,0,,,,,,,,
790,6mGGovzyvCUpCD8GA851-g**,7,3,1,75000,43301.27019,1,0,1,2,1,,,,,,,,
152,6mGGovzyvCUt5FQpUsN_lA**,0,1,5,5000,5000,0,0,1,0,0,,,,,,,,
791,6mGGovzyvCUt6P4LuZracA**,2,2,5,25000,17677.66953,0,1,1,0,1,,,,,,,,
723,6mGGovzyvCUvFRj20X9Bgg**,0,2,0,5000,3535.533906,0,0,1,0,1,,,,,,,,
574,6mGGovzyvCUxbltUcWWFwg**,4,1,4,45000,45000,1,0,1,2,0,,,,,,,,
623,6mGGovzyvCVbnISUEWkRFA**,10,2,4,125000,88388.34765,1,1,1,0,0,,,,,,,,
814,6mGGovzyvCVBnjv-p3f0DQ**,6,2,4,65000,45961.94078,1,0,1,1,1,,,,,,,,
837,6mGGovzyvCVdObna0eVUew**,1,2,1,15000,10606.60172,0,0,1,1,0,,,,,,,,
952,6mGGovzyvCVL_XrBGboCjA**,9,3,2,95000,54848.27557,1,0,1,2,1,,,,,,,,
550,6mGGovzyvCVNetGzUENqyg**,4,3,4,45000,25980.76211,0,0,1,1,0,,,,,,,,
710,6mGGovzyvCVPwRiIwLmyCA**,3,2,5,35000,24748.73734,0,0,1,0,1,,,,,,,,
654,6mGGovzyvCVPyjC4cdJzyg**,5,2,3,55000,38890.87297,1,1,1,0,1,,,,,,,,
508,6mGGovzyvCVQWozxd2Q9ug**,7,3,3,75000,43301.27019,1,0,1,2,1,,,,,,,,
203,6mGGovzyvCVY21fKUtHbzA**,0,1,4,5000,5000,0,0,1,1,1,,,,,,,,
233,6mGGovzyvCVyxIUkxCqJLA**,10,4,6,125000,62500,1,1,1,0,1,,,,,,,,
629,6mGGovzyvCVZenV-rz-OlQ**,4,2,1,45000,31819.80515,0,0,1,2,0,,,,,,,,
957,6mGGovzyvCW09_pNV_rbpA**,2,4,4,25000,12500,0,0,1,1,0,,,,,,,,
351,6mGGovzyvCW0VvPt_ecZHg**,6,4,4,65000,32500,1,0,1,0,1,,,,,,,,
403,6mGGovzyvCW60CURBWjE0Q**,6,5,4,65000,29068.88371,0,1,1,1,1,,,,,,,,
388,6mGGovzyvCW9JTJifiOJaA**,0,1,0,5000,5000,0,0,1,2,0,,,,,,,,
490,6mGGovzyvCWEcM0BvOp9Hw**,10,3,6,125000,72168.78365,1,0,1,2,0,,,,,,,,
268,6mGGovzyvCWnWWFHcPKJug**,5,1,4,55000,55000,1,0,1,1,0,,,,,,,,
716,6mGGovzyvCWO9aiwvvdTkw**,10,5,6,125000,55901.69944,1,0,1,0,1,,,,,,,,
443,6mGGovzyvCWRjhtTk1soog**,0,1,1,5000,5000,0,0,1,2,1,,,,,,,,
456,6mGGovzyvCWwrghklg8n2w**,4,2,2,45000,31819.80515,0,1,1,0,1,,,,,,,,
917,6mGGovzyvCWY34Q0DRaBgA**,10,3,1,125000,72168.78365,1,0,1,2,0,,,,,,,,
442,6mGGovzyvCX5Q0TfTCsZYA**,8,4,2,85000,42500,1,0,1,1,0,,,,,,,,
937,6mGGovzyvCX65ApzCdy9lg**,8,3,4,85000,49074.77288,1,1,1,1,1,,,,,,,,
980,6mGGovzyvCX6qAMddqh7ng**,11,1,6,150000,150000,1,0,1,0,1,,,,,,,,
334,6mGGovzyvCXBL3eg7GHTtQ**,1,2,1,15000,10606.60172,0,0,1,2,0,,,,,,,,
274,6mGGovzyvCXfxtYrUV6Q-A**,10,1,6,125000,125000,1,0,1,2,1,,,,,,,,
8,6mGGovzyvCXhrlm4WTnfjA**,4,3,2,45000,25980.76211,0,1,1,1,1,,,,,,,,
615,6mGGovzyvCXhYrZy2U66yA**,11,2,6,150000,106066.0172,1,0,1,1,0,,,,,,,,
550,6mGGovzyvCXLaFwoGniAvQ**,6,2,2,65000,45961.94078,1,0,1,2,0,,,,,,,,
479,6mGGovzyvCXpPYCCxLNBow**,1,1,1,15000,15000,0,1,1,0,0,,,,,,,,
822,6mGGovzyvCXQVUVwssWWGg**,3,3,1,35000,20207.25942,0,1,1,0,0,,,,,,,,
864,6mGGovzyvCXqyl-DnFx73w**,6,1,3,65000,65000,1,1,1,1,0,,,,,,,,
514,6mGGovzyvCXRr0OioVJeiw**,0,3,2,5000,2886.751346,0,0,1,2,0,,,,,,,,
207,6mGGovzyvCXU2z9yFBcGKA**,3,2,3,35000,24748.73734,0,1,1,2,1,,,,,,,,
222,6mGGovzyvCXUH5nkPwXUGQ**,0,1,2,5000,5000,0,1,1,1,1,,,,,,,,
280,6mGGovzyvCVVczj99558yQ**,0,4,1,5000,2500,0,0,1.25,2,1,,,,,,,,
650,6mGGovzyvCWlrPnk_0soKA**,0,1,1,5000,5000,0,0,1.25,0,1,,,,,,,,
649,6mGGovzyvCU8fEfd-PZXGA**,10,2,3,125000,88388.34765,1,1,1.5,1,1,,,,,,,,
702,6mGGovzyvCUu37TSFWtK4A**,0,2,0,5000,3535.533906,0,1,1.5,0,0,,,,,,,,
596,6mGGovzyvCVyJ558bsSClQ**,2,2,2,25000,17677.66953,0,0,1.5,0,0,,,,,,,,
666,6mGGovzyvCW23SsvPItAVQ**,0,1,1,5000,5000,0,1,1.5,0,1,,,,,,,,
513,6mGGovzyvCWH8Scs36t1tg**,10,2,6,125000,88388.34765,1,0,1.5,1,1,,,,,,,,
338,6mGGovzyvCWwHD3M0VRrTA**,1,1,4,15000,15000,0,0,1.5,0,1,,,,,,,,
125,6mGGovzyvCX4eOkqG4F1Ww**,2,1,2,25000,25000,0,0,1.5,1,1,,,,,,,,
774,6mGGovzyvCXETOu6za86dg**,3,4,2,35000,17500,0,1,1.5,0,1,,,,,,,,
275,6mGGovzyvCXOschblcUFeg**,2,7,3,25000,9449.111825,0,1,1.5,0,1,,,,,,,,
731,6mGGovzyvCXTZF3g6tty1g**,0,1,1,5000,5000,0,0,1.5,2,1,,,,,,,,
484,6mGGovzyvCXRRQnWgxwx6Q**,10,4,4,125000,62500,1,0,1.75,1,1,,,,,,,,
964,6mGGovzyvCXxqHq8jnadFQ**,1,2,1,15000,10606.60172,0,0,1.75,2,1,,,,,,,,
622,6mGGovzyvCVfpOhw0lj5kQ**,8,5,4,85000,38013.15562,1,0,1.99,2,0,,,,,,,,
142,6mGGovzyvCU4mZZIGiYkCw**,3,1,3,35000,35000,1,0,2,1,1,,,,,,,,
827,6mGGovzyvCU6rQkbvlYjoQ**,2,2,2,25000,17677.66953,0,0,2,2,1,,,,,,,,
935,6mGGovzyvCU9qovq_LnJRQ**,6,2,4,65000,45961.94078,1,0,2,2,1,,,,,,,,
995,6mGGovzyvCUAdTsBCJZEWw**,1,2,3,15000,10606.60172,0,0,2,2,0,,,,,,,,
977,6mGGovzyvCUaoBH540uvYA**,10,6,4,125000,51031.03631,1,1,2,0,1,,,,,,,,
689,6mGGovzyvCUbUwoWkwbHGw**,5,4,1,55000,27500,0,0,2,2,1,,,,,,,,
3,6mGGovzyvCUdkLY5_tYJ8w**,1,2,2,15000,10606.60172,0,1,2,2,0,,,,,,,,
256,6mGGovzyvCUENhVBq8w_vQ**,10,4,2,125000,62500,1,0,2,2,0,,,,,,,,
224,6mGGovzyvCUGoNncUNmafw**,5,2,4,55000,38890.87297,1,1,2,2,1,,,,,,,,
982,6mGGovzyvCUGzhC55lb6iQ**,2,4,1,25000,12500,0,0,2,2,1,,,,,,,,
664,6mGGovzyvCUihrfaxxvX1g**,3,1,3,35000,35000,1,0,2,2,1,,,,,,,,
176,6mGGovzyvCUJGVs4TVMJeg**,2,2,1,25000,17677.66953,0,1,2,1,0,,,,,,,,
199,6mGGovzyvCUkiPab65rHLg**,6,3,4,65000,37527.7675,1,1,2,1,1,,,,,,,,
908,6mGGovzyvCUMBsi_6cRDbw**,6,2,2,65000,45961.94078,1,1,2,2,0,,,,,,,,
809,6mGGovzyvCUNFnVafwXfvQ**,7,4,5,75000,37500,1,0,2,2,1,,,,,,,,
698,6mGGovzyvCUntvV41ORz_A**,2,2,3,25000,17677.66953,0,1,2,2,1,,,,,,,,
824,6mGGovzyvCUqhwI7LQTlYQ**,7,5,6,75000,33541.01966,1,0,2,0,1,,,,,,,,
425,6mGGovzyvCUqL-A-Icyh5A**,2,5,1,25000,11180.33989,0,1,2,0,1,,,,,,,,
477,6mGGovzyvCUR6vDtiTs69Q**,2,2,6,25000,17677.66953,0,0,2,1,1,,,,,,,,
923,6mGGovzyvCURfC7yKsVA7g**,4,2,6,45000,31819.80515,0,0,2,2,1,,,,,,,,
284,6mGGovzyvCUSje3WvTmcHg**,7,2,4,75000,53033.00859,1,0,2,0,1,,,,,,,,
654,6mGGovzyvCUsYnsS0NV-KQ**,4,3,2,45000,25980.76211,0,1,2,1,1,,,,,,,,
972,6mGGovzyvCUthm0RBJZo9w**,1,1,2,15000,15000,0,1,2,1,1,,,,,,,,
573,6mGGovzyvCUTyv-hYJxqBg**,1,1,4,15000,15000,0,0,2,0,0,,,,,,,,
268,6mGGovzyvCUV9wIs2PTGKQ**,7,3,2,75000,43301.27019,1,0,2,2,0,,,,,,,,
675,6mGGovzyvCUviXy1Ak3mCg**,6,1,2,65000,65000,1,0,2,1,0,,,,,,,,
602,6mGGovzyvCUx7bFwgnLTbA**,5,5,2,55000,24596.74775,0,1,2,2,1,,,,,,,,
551,6mGGovzyvCUxD2bTfbQ9fQ**,10,2,4,125000,88388.34765,1,0,2,2,0,,,,,,,,
961,6mGGovzyvCUyMdwokIOUgg**,8,8,3,85000,30052.0382,0,1,2,2,0,,,,,,,,
779,6mGGovzyvCUzCRUqM_6G3Q**,3,3,4,35000,20207.25942,0,1,2,0,0,,,,,,,,
871,6mGGovzyvCV26WQWn7PM3Q**,2,1,2,25000,25000,0,1,2,1,1,,,,,,,,
676,6mGGovzyvCV3CVaN_UWDlA**,3,7,0,35000,13228.75656,0,0,2,1,0,,,,,,,,
154,6mGGovzyvCV6sNtkdEy-dw**,5,3,4,55000,31754.26481,0,0,2,0,0,,,,,,,,
76,6mGGovzyvCV8UjNUEENkYg**,2,2,1,25000,17677.66953,0,0,2,0,1,,,,,,,,
369,6mGGovzyvCVa3Cxku_wIsQ**,3,3,4,35000,20207.25942,0,0,2,0,1,,,,,,,,
441,6mGGovzyvCVAtTcMFHaOXg**,2,1,6,25000,25000,0,0,2,0,1,,,,,,,,
952,6mGGovzyvCVcipXo556hJA**,4,8,1,45000,15909.90258,0,0,2,1,0,,,,,,,,
408,6mGGovzyvCVdfDykkeIR9g**,0,3,0,5000,2886.751346,0,1,2,1,0,,,,,,,,
154,6mGGovzyvCVdIF2itg5yYg**,6,4,4,65000,32500,1,0,2,1,1,,,,,,,,
613,6mGGovzyvCVfiAe_QnK9Vg**,5,2,6,55000,38890.87297,1,1,2,2,1,,,,,,,,
78,6mGGovzyvCVk8R_Iv5Nsfg**,8,1,4,85000,85000,1,0,2,2,1,,,,,,,,
227,6mGGovzyvCVlDcEYllJ1wg**,3,4,3,35000,17500,0,0,2,2,0,,,,,,,,
563,6mGGovzyvCVMHS2I0Z2CUA**,4,1,2,45000,45000,1,1,2,0,0,,,,,,,,
428,6mGGovzyvCVml2RF-5J0QA**,2,5,3,25000,11180.33989,0,1,2,2,1,,,,,,,,
435,6mGGovzyvCVndkXDRSvhcg**,7,1,6,75000,75000,1,0,2,1,0,,,,,,,,
155,6mGGovzyvCVqpL6kRku76g**,9,3,6,95000,54848.27557,1,0,2,1,1,,,,,,,,
37,6mGGovzyvCVqSULuMF4RMQ**,1,1,3,15000,15000,0,1,2,0,0,,,,,,,,
298,6mGGovzyvCVSLDd_Iw_Guw**,4,3,3,45000,25980.76211,0,0,2,1,0,,,,,,,,
107,6mGGovzyvCVUkVQGE0vtHg**,7,2,1,75000,53033.00859,1,0,2,1,1,,,,,,,,
700,6mGGovzyvCVuUJi4Q0u5pw**,4,1,2,45000,45000,1,0,2,2,1,,,,,,,,
114,6mGGovzyvCVXBRbkLSfQcQ**,0,6,3,5000,2041.241452,0,1,2,0,1,,,,,,,,
840,6mGGovzyvCVYhOAUo31uVQ**,6,4,4,65000,32500,1,1,2,1,1,,,,,,,,
801,6mGGovzyvCVYlFrBlqE7Hw**,3,3,4,35000,20207.25942,0,0,2,0,1,,,,,,,,
796,6mGGovzyvCVysov1Ry_-lA**,4,4,1,45000,22500,0,0,2,2,1,,,,,,,,
963,6mGGovzyvCVZaQ_QAWKAHg**,2,2,2,25000,17677.66953,0,0,2,0,0,,,,,,,,
286,6mGGovzyvCVZlD7YCQErlw**,5,4,1,55000,27500,0,0,2,2,,,,,,,,,
335,6mGGovzyvCW_5gRar1eBYQ**,1,2,3,15000,10606.60172,0,0,2,2,0,,,,,,,,
373,6mGGovzyvCW_XwSRFP-beA**,0,1,6,5000,5000,0,1,2,2,1,,,,,,,,
775,6mGGovzyvCW1HJWtMCeY-Q**,6,4,1,65000,32500,1,1,2,1,1,,,,,,,,
544,6mGGovzyvCW1XpmNp7C8gw**,3,1,3,35000,35000,1,0,2,1,1,,,,,,,,
946,6mGGovzyvCW1zZDvsckNmQ**,2,4,0,25000,12500,0,0,2,1,1,,,,,,,,
257,6mGGovzyvCW6drHeEFSlmg**,11,4,6,150000,75000,1,1,2,0,1,,,,,,,,
539,6mGGovzyvCW7NSVjyGxOug**,8,3,2,85000,49074.77288,1,1,2,0,1,,,,,,,,
741,6mGGovzyvCWb6JZMhFnx7Q**,0,6,3,5000,2041.241452,0,0,2,1,1,,,,,,,,
655,6mGGovzyvCWCKWBMSTD51Q**,5,4,3,55000,27500,0,1,2,1,0,,,,,,,,
920,6mGGovzyvCWeu_ZQ32VweQ**,6,2,1,65000,45961.94078,1,0,2,0,1,,,,,,,,
873,6mGGovzyvCWf7gBm0PTT6A**,5,2,4,55000,38890.87297,1,0,2,0,1,,,,,,,,
240,6mGGovzyvCWfMKe3FgR4ZQ**,9,2,4,95000,67175.14421,1,1,2,0,0,,,,,,,,
851,6mGGovzyvCWIYQDoLNAWNw**,1,2,4,15000,10606.60172,0,1,2,0,1,,,,,,,,
826,6mGGovzyvCWjwxelBSnF8A**,1,2,2,15000,10606.60172,0,0,2,2,0,,,,,,,,
778,6mGGovzyvCWmmbqtC25qhA**,5,5,1,55000,24596.74775,0,0,2,2,0,,,,,,,,
260,6mGGovzyvCWsE0HCZWn--Q**,5,3,4,55000,31754.26481,0,1,2,2,1,,,,,,,,
473,6mGGovzyvCWSFiTr0j2GrQ**,6,2,2,65000,45961.94078,1,0,2,2,1,,,,,,,,
637,6mGGovzyvCWsWWlGVpiODg**,0,2,2,5000,3535.533906,0,1,2,2,0,,,,,,,,
147,6mGGovzyvCWtGaKsCnyHRw**,2,4,1,25000,12500,0,0,2,0,0,,,,,,,,
586,6mGGovzyvCWTlfrAXaCwew**,1,1,2,15000,15000,0,0,2,1,1,,,,,,,,
519,6mGGovzyvCWtLqeN-y1HVw**,6,3,4,65000,37527.7675,1,0,2,1,1,,,,,,,,
644,6mGGovzyvCWV6zma83TriQ**,5,4,3,55000,27500,0,1,2,2,0,,,,,,,,
127,6mGGovzyvCWVVt6rUl04oQ**,7,3,4,75000,43301.27019,1,1,2,2,1,,,,,,,,
280,6mGGovzyvCW-wF_vxQsE9A**,5,2,2,55000,38890.87297,1,0,2,2,0,,,,,,,,
951,6mGGovzyvCWWmHaL4Ugv1A**,4,1,4,45000,45000,1,0,2,1,1,,,,,,,,
749,6mGGovzyvCWX8GvExc2CcA**,0,3,2,5000,2886.751346,0,0,2,2,1,,,,,,,,
123,6mGGovzyvCWXWOe40WAciA**,3,4,2,35000,17500,0,0,2,0,0,,,,,,,,
344,6mGGovzyvCWZDOx885FaSQ**,10,3,3,125000,72168.78365,1,0,2,0,1,,,,,,,,
28,6mGGovzyvCWZonhVZ5Z0yw**,1,2,1,15000,10606.60172,0,0,2,0,1,,,,,,,,
571,6mGGovzyvCX2VTdyDoH58g**,1,1,3,15000,15000,0,1,2,1,1,,,,,,,,
671,6mGGovzyvCX2ybb4OdZr2w**,4,2,6,45000,31819.80515,0,0,2,2,0,,,,,,,,
531,6mGGovzyvCX4amqTo6xSFQ**,1,4,1,15000,7500,0,0,2,1,0,,,,,,,,
637,6mGGovzyvCXC1XF7-5bJuQ**,2,2,2,25000,17677.66953,0,1,2,1,1,,,,,,,,
249,6mGGovzyvCXCbQXVp3a-lA**,10,5,4,125000,55901.69944,1,0,2,1,1,,,,,,,,
874,6mGGovzyvCXCBrDtd7hTLQ**,1,2,1,15000,10606.60172,0,0,2,2,1,,,,,,,,
512,6mGGovzyvCXcLSqHq_Mw8Q**,10,3,6,125000,72168.78365,1,0,2,0,0,,,,,,,,
569,6mGGovzyvCXCRC0JpWYG0w**,5,2,1,55000,38890.87297,1,0,2,2,0,,,,,,,,
181,6mGGovzyvCXdJEsW080Ujw**,4,1,4,45000,45000,1,1,2,2,1,,,,,,,,
342,6mGGovzyvCXdyF-SFrumuA**,5,2,4,55000,38890.87297,1,1,2,0,1,,,,,,,,
130,6mGGovzyvCXFsy06VPObTw**,6,2,2,65000,45961.94078,1,0,2,0,1,,,,,,,,
898,6mGGovzyvCXgdUGW5Q6U2A**,0,2,3,5000,3535.533906,0,0,2,1,0,,,,,,,,
669,6mGGovzyvCXGejirBZw8EQ**,2,4,2,25000,12500,0,0,2,0,1,,,,,,,,
322,6mGGovzyvCXgp8cXRiaj-Q**,0,3,1,5000,2886.751346,0,0,2,2,0,,,,,,,,
548,6mGGovzyvCXJpfGp2V9qlw**,3,4,4,35000,17500,0,1,2,2,1,,,,,,,,
166,6mGGovzyvCXJY_PM6WF4sA**,5,4,1,55000,27500,0,0,2,2,0,,,,,,,,
