Subject,Resort,Income,HouseSize,Income2,SES2,Split,Beer,,
78,1,2,4,25000,12500,0,2.00,,
79,0,0,1,5000,5000,0,6.00,,
80,1,2,2,25000,17677.66953,0,5.00,,
81,0,4,3,45000,25980.76211,0,5.00,,
82,1,4,1,45000,45000,1,1.00,,
83,0,2,1,25000,25000,0,6.00,,
84,1,10,4,125000,62500,1,3.00,,
86,1,9,1,95000,95000,1,2.00,,
87,0,0,2,5000,3535.533906,0,2.75,,
88,1,1,6,15000,6123.724357,0,5.00,,
89,0,3,2,35000,24748.73734,0,2.00,,
90,1,1,1,15000,15000,0,6.00,,
91,0,4,5,45000,20124.6118,0,15.00,,
92,1,1,2,15000,10606.60172,0,2.00,,
93,0,5,2,55000,38890.87297,1,4.50,,
94,1,0,1,5000,5000,0,4.00,,
95,0,3,1,35000,35000,1,4.00,,
96,1,7,2,75000,53033.00859,1,6.00,,
97,0,7,2,75000,53033.00859,1,7.00,,
98,1,4,1,45000,45000,1,10.00,,
99,0,11,4,150000,75000,1,3.00,,
100,1,5,1,55000,55000,1,5.00,,
101,0,5,4,55000,27500,0,10.00,,
102,1,3,5,35000,15652.47584,0,5.00,,
103,0,11,5,150000,67082.03932,1,3.00,,
104,1,8,3,85000,49074.77288,1,5.00,,
105,0,10,3,125000,72168.78365,1,10.00,,
106,1,6,2,65000,45961.94078,1,7.00,,
111,0,10,4,125000,62500,1,5.00,,
112,1,3,1,35000,35000,1,3.00,,
113,0,10,3,125000,72168.78365,1,5.00,,
114,1,10,5,125000,55901.69944,1,5.00,,
115,0,10,3,125000,72168.78365,1,3.00,,
116,1,4,3,45000,25980.76211,0,5.00,,
117,0,1,2,15000,10606.60172,0,5.00,,
118,1,2,1,25000,25000,0,3.00,,
119,0,7,2,75000,53033.00859,1,3.00,,
120,1,0,1,5000,5000,0,3.00,,
121,0,10,4,125000,62500,1,2.00,,
122,1,3,2,35000,24748.73734,0,4.00,,
123,0,7,3,75000,43301.27019,1,6.00,,
124,1,4,4,45000,22500,0,4.00,,
125,0,2,2,25000,17677.66953,0,2.50,,
126,1,3,1,35000,35000,1,5.00,,
127,0,9,5,95000,42485.29157,1,3.00,,
128,1,9,2,95000,67175.14421,1,3.00,,
129,0,1,2,15000,10606.60172,0,4.00,,
130,1,3,4,35000,17500,0,5.00,,
131,0,0,1,5000,5000,0,8.00,,
132,1,2,4,25000,12500,0,0.00,,
133,0,9,4,95000,47500,1,3.00,,
134,1,1,3,15000,8660.254038,0,5.00,,
135,0,11,4,150000,75000,1,4.00,,
136,1,2,3,25000,14433.75673,0,4.00,,
137,0,4,4,45000,22500,0,15.00,,
138,1,3,3,35000,20207.25942,0,4.00,,
139,0,7,4,75000,37500,1,4.50,,
140,1,6,3,65000,37527.7675,1,12.00,,
142,1,5,2,55000,38890.87297,1,5.00,,
143,0,5,2,55000,38890.87297,1,2.00,,
144,1,4,1,45000,45000,1,4.50,,
145,0,7,2,75000,53033.00859,1,2.00,,
146,1,5,3,55000,31754.26481,0,4.00,,
147,0,10,2,125000,88388.34765,1,3.00,,
148,1,0,1,5000,5000,0,2.00,,
149,0,4,2,45000,31819.80515,0,4.00,,
150,1,4,4,45000,22500,0,7.00,,
151,0,2,3,25000,14433.75673,0,2.00,,
152,1,1,2,15000,10606.60172,0,5.00,,
153,0,8,2,85000,60104.0764,1,1.50,,
154,1,4,1,45000,45000,1,4.00,,
155,0,6,7,65000,24567.69075,0,2.00,,
156,1,7,2,75000,53033.00859,1,10.00,,
157,0,1,3,15000,8660.254038,0,4.00,,
158,1,10,4,125000,62500,1,4.00,,
159,0,3,2,35000,24748.73734,0,2.00,,
160,1,2,2,25000,17677.66953,0,5.00,,
161,0,10,5,125000,55901.69944,1,5.00,,
162,1,6,2,65000,45961.94078,1,50.00,,
