subject,resort,income,house,edu,inc,ses,split,pay,,,,,,,,,
235,0,4,2,2,45000,31819.80515,1,3,,,,,,,,,
252,0,8,2,6,85000,60104.0764,1,3,,,,,,,,,
261,1,0,3,2,5000,2886.751346,0,3,,,,,,,,,
278,0,0,1,1,5000,5000,0,3,,,,,,,,,
280,0,0,2,2,5000,3535.533906,0,3,,,,,,,,,
288,0,2,2,2,25000,17677.66953,0,3,,,,,,,,,
306,1,0,1,2,5000,5000,0,3,,,,,,,,,
314,1,1,1,4,15000,15000,0,3,,,,,,,,,
329,0,0,3,3,5000,2886.751346,0,3,,,,,,,,,
336,0,8,2,2,85000,60104.0764,1,3,,,,,,,,,
337,0,6,1,2,65000,65000,1,3,,,,,,,,,
355,0,1,2,4,15000,10606.60172,0,3,,,,,,,,,
427,0,5,1,4,55000,55000,1,3,,,,,,,,,
444,1,2,2,2,25000,17677.66953,0,3,,,,,,,,,
447,1,1,2,0,15000,10606.60172,0,3,,,,,,,,,
451,0,7,2,4,75000,53033.00859,1,3,,,,,,,,,
462,1,1,3,2,15000,8660.254038,0,3,,,,,,,,,
482,1,10,5,1,125000,55901.69944,1,3,,,,,,,,,
504,0,5,2,4,55000,38890.87297,1,3,,,,,,,,,
506,1,2,1,3,25000,25000,0,3,,,,,,,,,
509,0,7,2,4,75000,53033.00859,1,3,,,,,,,,,
542,1,0,1,2,5000,5000,0,3,,,,,,,,,
557,0,4,1,6,45000,45000,1,3,,,,,,,,,
559,1,2,5,3,25000,11180.33989,0,3,,,,,,,,,
571,0,5,2,3,55000,38890.87297,1,3,,,,,,,,,
585,0,1,2,3,15000,10606.60172,0,3,,,,,,,,,
592,0,7,1,1,75000,75000,1,3,,,,,,,,,
593,0,11,4,4,150000,75000,1,3,,,,,,,,,
613,0,1,5,1,15000,6708.203932,0,3,,,,,,,,,
624,0,1,1,2,15000,15000,0,3,,,,,,,,,
636,1,1,4,2,15000,7500,0,3,,,,,,,,,
489,0,6,3,4,65000,37527.7675,1,3.25,,,,,,,,,
88,0,8,1,6,85000,85000,1,3.5,,,,,,,,,
118,0,3,5,4,35000,15652.47584,0,3.5,,,,,,,,,
126,0,2,1,3,25000,25000,0,3.5,,,,,,,,,
220,0,2,5,4,25000,11180.33989,0,3.5,,,,,,,,,
242,1,0,1,2,5000,5000,0,3.5,,,,,,,,,
369,0,2,2,1,25000,17677.66953,0,3.5,,,,,,,,,
463,1,2,1,1,25000,25000,0,3.5,,,,,,,,,
496,0,7,2,2,75000,53033.00859,1,3.5,,,,,,,,,
577,0,5,4,2,55000,27500,1,3.5,,,,,,,,,
616,0,2,1,4,25000,25000,0,3.5,,,,,,,,,
30,0,2,3,4,25000,14433.75673,0,4,,,,,,,,,
56,0,1,2,1,15000,10606.60172,0,4,,,,,,,,,
69,1,5,3,4,55000,31754.26481,1,4,,,,,,,,,
98,1,0,4,2,5000,2500,0,4,,,,,,,,,
102,0,4,2,4,45000,31819.80515,1,4,,,,,,,,,
131,0,1,2,5,15000,10606.60172,0,4,,,,,,,,,
133,1,7,4,2,75000,37500,1,4,,,,,,,,,
146,1,3,2,2,35000,24748.73734,0,4,,,,,,,,,
150,0,7,5,3,75000,33541.01966,1,4,,,,,,,,,
157,1,3,4,2,35000,17500,0,4,,,,,,,,,
159,1,2,1,4,25000,25000,0,4,,,,,,,,,
200,0,10,4,2,125000,62500,1,4,,,,,,,,,
232,0,5,2,1,55000,38890.87297,1,4,,,,,,,,,
243,0,8,8,2,85000,30052.0382,1,4,,,,,,,,,
254,0,4,5,2,45000,20124.6118,0,4,,,,,,,,,
279,1,3,2,6,35000,24748.73734,0,4,,,,,,,,,
284,0,4,4,2,45000,22500,0,4,,,,,,,,,
294,0,8,2,6,85000,60104.0764,1,4,,,,,,,,,
301,1,0,1,2,5000,5000,0,4,,,,,,,,,
311,1,10,5,4,125000,55901.69944,1,4,,,,,,,,,
313,0,4,2,2,45000,31819.80515,1,4,,,,,,,,,
315,0,10,3,4,125000,72168.78365,1,4,,,,,,,,,
317,0,10,3,2,125000,72168.78365,1,4,,,,,,,,,
352,0,5,2,6,55000,38890.87297,1,4,,,,,,,,,
353,0,2,4,2,25000,12500,0,4,,,,,,,,,
359,1,5,4,5,55000,27500,1,4,,,,,,,,,
364,1,0,1,1,5000,5000,0,4,,,,,,,,,
377,0,6,2,4,65000,45961.94078,1,4,,,,,,,,,
396,1,2,2,1,25000,17677.66953,0,4,,,,,,,,,
405,0,10,3,2,125000,72168.78365,1,4,,,,,,,,,
424,0,4,2,6,45000,31819.80515,1,4,,,,,,,,,
430,1,6,5,2,65000,29068.88371,1,4,,,,,,,,,
435,0,4,2,1,45000,31819.80515,1,4,,,,,,,,,
442,1,4,1,2,45000,45000,1,4,,,,,,,,,
457,0,10,4,2,125000,62500,1,4,,,,,,,,,
461,0,2,1,4,25000,25000,0,4,,,,,,,,,
464,0,7,7,4,75000,28347.33548,1,4,,,,,,,,,
465,0,2,1,4,25000,25000,0,4,,,,,,,,,
475,0,5,3,2,55000,31754.26481,1,4,,,,,,,,,
483,0,1,3,1,15000,8660.254038,0,4,,,,,,,,,
488,0,5,2,4,55000,38890.87297,1,4,,,,,,,,,
505,0,3,1,4,35000,35000,1,4,,,,,,,,,
536,0,0,4,2,5000,2500,0,4,,,,,,,,,
540,1,7,1,6,75000,75000,1,4,,,,,,,,,
553,0,4,4,3,45000,22500,0,4,,,,,,,,,
560,0,5,3,4,55000,31754.26481,1,4,,,,,,,,,
562,1,0,1,2,5000,5000,0,4,,,,,,,,,
570,1,2,2,2,25000,17677.66953,0,4,,,,,,,,,
580,1,1,4,2,15000,7500,0,4,,,,,,,,,
591,1,4,4,2,45000,22500,0,4,,,,,,,,,
611,0,7,3,4,75000,43301.27019,1,4,,,,,,,,,
618,1,4,2,4,45000,31819.80515,1,4,,,,,,,,,
619,0,7,3,4,75000,43301.27019,1,4,,,,,,,,,
620,1,3,1,4,35000,35000,1,4,,,,,,,,,
629,0,10,1,4,125000,125000,1,4,,,,,,,,,
1,1,3,2,4,35000,24748.73734,0,5,,,,,,,,,
3,0,10,4,6,125000,62500,1,5,,,,,,,,,
4,0,3,2,1,35000,24748.73734,0,5,,,,,,,,,
6,0,0,2,1,5000,3535.533906,0,5,,,,,,,,,
8,0,6,2,2,65000,45961.94078,1,5,,,,,,,,,
9,1,5,5,3,55000,24596.74775,0,5,,,,,,,,,
11,0,9,2,2,95000,67175.14421,1,5,,,,,,,,,
13,1,3,1,4,35000,35000,1,5,,,,,,,,,
14,0,11,3,3,150000,86602.54038,1,5,,,,,,,,,
16,0,0,2,2,5000,3535.533906,0,5,,,,,,,,,
17,1,4,3,2,45000,25980.76211,0,5,,,,,,,,,
18,1,10,5,2,125000,55901.69944,1,5,,,,,,,,,
20,0,5,3,4,55000,31754.26481,1,5,,,,,,,,,
21,1,4,2,4,45000,31819.80515,1,5,,,,,,,,,
22,0,0,1,2,5000,5000,0,5,,,,,,,,,
25,1,0,1,2,5000,5000,0,5,,,,,,,,,
32,0,3,3,4,35000,20207.25942,0,5,,,,,,,,,
33,1,4,2,2,45000,31819.80515,1,5,,,,,,,,,
38,0,10,2,4,125000,88388.34765,1,5,,,,,,,,,
42,1,2,1,5,25000,25000,0,5,,,,,,,,,
43,0,3,1,2,35000,35000,1,5,,,,,,,,,
45,1,2,3,1,25000,14433.75673,0,5,,,,,,,,,
48,0,0,4,2,5000,2500,0,5,,,,,,,,,
52,0,2,1,3,25000,25000,0,5,,,,,,,,,
58,1,1,1,2,15000,15000,0,5,,,,,,,,,
59,0,8,3,4,85000,49074.77288,1,5,,,,,,,,,
60,0,2,1,4,25000,25000,0,5,,,,,,,,,
62,0,10,2,4,125000,88388.34765,1,5,,,,,,,,,
63,1,2,2,2,25000,17677.66953,0,5,,,,,,,,,
65,1,4,2,4,45000,31819.80515,1,5,,,,,,,,,
73,1,7,2,2,75000,53033.00859,1,5,,,,,,,,,
78,0,4,2,4,45000,31819.80515,1,5,,,,,,,,,
83,0,10,2,6,125000,88388.34765,1,5,,,,,,,,,
85,1,1,1,2,15000,15000,0,5,,,,,,,,,
89,1,7,2,6,75000,53033.00859,1,5,,,,,,,,,
92,0,0,3,1,5000,2886.751346,0,5,,,,,,,,,
94,0,3,1,4,35000,35000,1,5,,,,,,,,,
95,1,2,4,2,25000,12500,0,5,,,,,,,,,
96,0,5,2,4,55000,38890.87297,1,5,,,,,,,,,
99,0,10,4,5,125000,62500,1,5,,,,,,,,,
103,1,8,2,2,85000,60104.0764,1,5,,,,,,,,,
104,0,5,3,4,55000,31754.26481,1,5,,,,,,,,,
105,1,11,3,4,150000,86602.54038,1,5,,,,,,,,,
106,1,8,4,2,85000,42500,1,5,,,,,,,,,
107,0,1,1,0,15000,15000,0,5,,,,,,,,,
112,0,1,2,4,15000,10606.60172,0,5,,,,,,,,,
119,1,7,2,4,75000,53033.00859,1,5,,,,,,,,,
120,0,1,1,4,15000,15000,0,5,,,,,,,,,
123,0,1,1,6,15000,15000,0,5,,,,,,,,,
124,0,7,2,4,75000,53033.00859,1,5,,,,,,,,,
128,0,3,1,4,35000,35000,1,5,,,,,,,,,
129,1,3,4,2,35000,17500,0,5,,,,,,,,,
134,0,4,5,1,45000,20124.6118,0,5,,,,,,,,,
139,0,10,4,2,125000,62500,1,5,,,,,,,,,
145,1,4,1,3,45000,45000,1,5,,,,,,,,,
147,0,2,3,2,25000,14433.75673,0,5,,,,,,,,,
149,1,4,3,6,45000,25980.76211,0,5,,,,,,,,,
158,0,6,3,4,65000,37527.7675,1,5,,,,,,,,,
160,0,7,2,4,75000,53033.00859,1,5,,,,,,,,,
162,1,1,2,4,15000,10606.60172,0,5,,,,,,,,,
169,1,5,3,4,55000,31754.26481,1,5,,,,,,,,,
171,0,4,2,4,45000,31819.80515,1,5,,,,,,,,,
179,0,5,2,2,55000,38890.87297,1,5,,,,,,,,,
180,0,8,1,4,85000,85000,1,5,,,,,,,,,
182,0,7,2,2,75000,53033.00859,1,5,,,,,,,,,
183,1,1,1,3,15000,15000,0,5,,,,,,,,,
187,0,0,3,2,5000,2886.751346,0,5,,,,,,,,,
188,0,5,3,4,55000,31754.26481,1,5,,,,,,,,,
193,1,3,3,3,35000,20207.25942,0,5,,,,,,,,,
197,1,7,2,4,75000,53033.00859,1,5,,,,,,,,,
199,1,2,4,4,25000,12500,0,5,,,,,,,,,
202,1,3,8,3,35000,12374.36867,0,5,,,,,,,,,
203,0,3,1,4,35000,35000,1,5,,,,,,,,,
205,1,3,1,6,35000,35000,1,5,,,,,,,,,
206,0,2,2,4,25000,17677.66953,0,5,,,,,,,,,
209,1,3,4,6,35000,17500,0,5,,,,,,,,,
210,1,2,3,2,25000,14433.75673,0,5,,,,,,,,,
227,0,5,1,4,55000,55000,1,5,,,,,,,,,
236,0,6,3,2,65000,37527.7675,1,5,,,,,,,,,
237,1,4,2,4,45000,31819.80515,1,5,,,,,,,,,
241,1,7,3,4,75000,43301.27019,1,5,,,,,,,,,
244,0,0,1,2,5000,5000,0,5,,,,,,,,,
245,1,2,2,5,25000,17677.66953,0,5,,,,,,,,,
247,1,4,2,2,45000,31819.80515,1,5,,,,,,,,,
249,1,6,1,4,65000,65000,1,5,,,,,,,,,
251,0,3,2,2,35000,24748.73734,0,5,,,,,,,,,
253,1,4,1,4,45000,45000,1,5,,,,,,,,,
256,0,7,3,3,75000,43301.27019,1,5,,,,,,,,,
258,1,4,2,4,45000,31819.80515,1,5,,,,,,,,,
263,1,4,2,4,45000,31819.80515,1,5,,,,,,,,,
265,1,2,1,2,25000,25000,0,5,,,,,,,,,
266,1,10,2,4,125000,88388.34765,1,5,,,,,,,,,
267,0,5,5,4,55000,24596.74775,0,5,,,,,,,,,
276,0,8,3,4,85000,49074.77288,1,5,,,,,,,,,
282,1,6,5,2,65000,29068.88371,1,5,,,,,,,,,
283,0,7,2,4,75000,53033.00859,1,5,,,,,,,,,
285,1,2,2,4,25000,17677.66953,0,5,,,,,,,,,
286,0,2,2,4,25000,17677.66953,0,5,,,,,,,,,
289,1,4,4,4,45000,22500,0,5,,,,,,,,,
290,1,2,3,2,25000,14433.75673,0,5,,,,,,,,,
293,1,2,2,2,25000,17677.66953,0,5,,,,,,,,,
296,0,4,2,2,45000,31819.80515,1,5,,,,,,,,,
302,0,3,4,4,35000,17500,0,5,,,,,,,,,
303,1,5,2,2,55000,38890.87297,1,5,,,,,,,,,
316,1,2,2,2,25000,17677.66953,0,5,,,,,,,,,
318,1,3,4,2,35000,17500,0,5,,,,,,,,,
328,0,10,3,6,125000,72168.78365,1,5,,,,,,,,,
333,0,2,1,4,25000,25000,0,5,,,,,,,,,
339,0,8,4,2,85000,42500,1,5,,,,,,,,,
345,0,2,2,4,25000,17677.66953,0,5,,,,,,,,,
346,1,0,1,2,5000,5000,0,5,,,,,,,,,
348,1,2,4,1,25000,12500,0,5,,,,,,,,,
349,0,11,2,2,150000,106066.0172,1,5,,,,,,,,,
357,0,5,3,4,55000,31754.26481,1,5,,,,,,,,,
362,1,4,3,3,45000,25980.76211,0,5,,,,,,,,,
366,1,3,1,2,35000,35000,1,5,,,,,,,,,
372,1,3,3,1,35000,20207.25942,0,5,,,,,,,,,
373,0,2,3,2,25000,14433.75673,0,5,,,,,,,,,
374,1,4,5,2,45000,20124.6118,0,5,,,,,,,,,
375,1,8,1,4,85000,85000,1,5,,,,,,,,,
382,1,2,4,1,25000,12500,0,5,,,,,,,,,
383,1,0,1,3,5000,5000,0,5,,,,,,,,,
387,0,5,2,2,55000,38890.87297,1,5,,,,,,,,,
389,0,2,3,2,25000,14433.75673,0,5,,,,,,,,,
392,0,5,2,3,55000,38890.87297,1,5,,,,,,,,,
398,1,8,2,4,85000,60104.0764,1,5,,,,,,,,,
400,0,8,4,2,85000,42500,1,5,,,,,,,,,
401,0,3,3,2,35000,20207.25942,0,5,,,,,,,,,
403,0,5,4,4,55000,27500,1,5,,,,,,,,,
404,1,4,1,6,45000,45000,1,5,,,,,,,,,
406,1,1,1,2,15000,15000,0,5,,,,,,,,,
407,1,6,2,4,65000,45961.94078,1,5,,,,,,,,,
412,1,5,3,5,55000,31754.26481,1,5,,,,,,,,,
413,0,2,2,2,25000,17677.66953,0,5,,,,,,,,,
421,0,8,4,2,85000,42500,1,5,,,,,,,,,
429,0,3,2,2,35000,24748.73734,0,5,,,,,,,,,
433,0,4,2,4,45000,31819.80515,1,5,,,,,,,,,
440,0,7,3,2,75000,43301.27019,1,5,,,,,,,,,
446,1,2,4,2,25000,12500,0,5,,,,,,,,,
448,0,5,1,6,55000,55000,1,5,,,,,,,,,
450,1,5,2,1,55000,38890.87297,1,5,,,,,,,,,
452,1,1,1,1,15000,15000,0,5,,,,,,,,,
454,1,2,2,3,25000,17677.66953,0,5,,,,,,,,,
455,1,10,3,2,125000,72168.78365,1,5,,,,,,,,,
456,0,3,4,2,35000,17500,0,5,,,,,,,,,
459,0,3,6,2,35000,14288.69017,0,5,,,,,,,,,
470,1,1,1,3,15000,15000,0,5,,,,,,,,,
474,1,5,3,4,55000,31754.26481,1,5,,,,,,,,,
478,1,6,3,4,65000,37527.7675,1,5,,,,,,,,,
481,0,2,2,2,25000,17677.66953,0,5,,,,,,,,,
486,1,3,3,1,35000,20207.25942,0,5,,,,,,,,,
487,1,4,2,2,45000,31819.80515,1,5,,,,,,,,,
490,1,6,4,4,65000,32500,1,5,,,,,,,,,
491,0,4,3,3,45000,25980.76211,0,5,,,,,,,,,
493,0,2,3,2,25000,14433.75673,0,5,,,,,,,,,
494,1,5,2,4,55000,38890.87297,1,5,,,,,,,,,
495,1,3,1,4,35000,35000,1,5,,,,,,,,,
498,1,7,1,6,75000,75000,1,5,,,,,,,,,
503,1,0,2,1,5000,3535.533906,0,5,,,,,,,,,
508,1,4,5,2,45000,20124.6118,0,5,,,,,,,,,
513,0,7,4,3,75000,37500,1,5,,,,,,,,,
515,0,4,4,4,45000,22500,0,5,,,,,,,,,
520,0,2,5,2,25000,11180.33989,0,5,,,,,,,,,
528,0,7,4,4,75000,37500,1,5,,,,,,,,,
538,1,8,5,6,85000,38013.15562,1,5,,,,,,,,,
543,1,4,4,5,45000,22500,0,5,,,,,,,,,
544,0,8,2,5,85000,60104.0764,1,5,,,,,,,,,
545,0,3,1,1,35000,35000,1,5,,,,,,,,,
548,1,4,4,4,45000,22500,0,5,,,,,,,,,
549,0,11,6,2,150000,61237.24357,1,5,,,,,,,,,
550,1,2,2,1,25000,17677.66953,0,5,,,,,,,,,
551,1,0,1,2,5000,5000,0,5,,,,,,,,,
552,0,10,5,2,125000,55901.69944,1,5,,,,,,,,,
555,0,1,1,4,15000,15000,0,5,,,,,,,,,
556,1,2,2,6,25000,17677.66953,0,5,,,,,,,,,
572,1,9,3,6,95000,54848.27557,1,5,,,,,,,,,
573,0,0,1,1,5000,5000,0,5,,,,,,,,,
584,0,0,1,2,5000,5000,0,5,,,,,,,,,
588,1,0,1,1,5000,5000,0,5,,,,,,,,,
597,0,5,1,4,55000,55000,1,5,,,,,,,,,
602,1,3,3,3,35000,20207.25942,0,5,,,,,,,,,
604,1,2,4,1,25000,12500,0,5,,,,,,,,,
608,0,7,2,4,75000,53033.00859,1,5,,,,,,,,,
612,1,1,2,2,15000,10606.60172,0,5,,,,,,,,,
614,1,1,3,4,15000,8660.254038,0,5,,,,,,,,,
614,1,1,3,4,15000,8660.254038,0,5,,,,,,,,,
617,0,2,3,4,25000,14433.75673,0,5,,,,,,,,,
621,0,8,4,4,85000,42500,1,5,,,,,,,,,
622,1,4,3,1,45000,25980.76211,0,5,,,,,,,,,
623,1,8,2,4,85000,60104.0764,1,5,,,,,,,,,
627,0,2,1,5,25000,25000,0,5,,,,,,,,,
628,1,10,4,2,125000,62500,1,5,,,,,,,,,
632,0,7,2,2,75000,53033.00859,1,5,,,,,,,,,
547,0,5,1,4,55000,55000,1,5.25,,,,,,,,,
625,0,3,1,2,35000,35000,1,5.5,,,,,,,,,
2,1,4,5,2,45000,20124.6118,0,6,,,,,,,,,
24,0,3,3,3,35000,20207.25942,0,6,,,,,,,,,
36,0,3,4,4,35000,17500,0,6,,,,,,,,,
49,1,5,2,5,55000,38890.87297,1,6,,,,,,,,,
50,1,4,3,2,45000,25980.76211,0,6,,,,,,,,,
57,1,6,3,4,65000,37527.7675,1,6,,,,,,,,,
72,0,0,1,4,5000,5000,0,6,,,,,,,,,
81,1,5,3,2,55000,31754.26481,1,6,,,,,,,,,
90,1,1,5,2,15000,6708.203932,0,6,,,,,,,,,
110,0,7,2,4,75000,53033.00859,1,6,,,,,,,,,
115,0,8,3,2,85000,49074.77288,1,6,,,,,,,,,
127,1,10,3,2,125000,72168.78365,1,6,,,,,,,,,
143,1,0,3,4,5000,2886.751346,0,6,,,,,,,,,
152,0,6,1,4,65000,65000,1,6,,,,,,,,,
194,1,4,1,4,45000,45000,1,6,,,,,,,,,
222,0,0,4,2,5000,2500,0,6,,,,,,,,,
223,1,3,3,2,35000,20207.25942,0,6,,,,,,,,,
233,1,10,3,4,125000,72168.78365,1,6,,,,,,,,,
234,1,5,2,5,55000,38890.87297,1,6,,,,,,,,,
240,0,1,1,6,15000,15000,0,6,,,,,,,,,
255,1,1,1,2,15000,15000,0,6,,,,,,,,,
274,1,2,1,6,25000,25000,0,6,,,,,,,,,
287,1,10,2,4,125000,88388.34765,1,6,,,,,,,,,
312,0,4,5,2,45000,20124.6118,0,6,,,,,,,,,
322,1,3,2,4,35000,24748.73734,0,6,,,,,,,,,
330,1,0,1,1,5000,5000,0,6,,,,,,,,,
340,1,11,4,5,150000,75000,1,6,,,,,,,,,
358,1,2,1,2,25000,25000,0,6,,,,,,,,,
385,0,10,2,2,125000,88388.34765,1,6,,,,,,,,,
390,1,5,3,4,55000,31754.26481,1,6,,,,,,,,,
420,1,6,4,4,65000,32500,1,6,,,,,,,,,
437,0,1,1,5,15000,15000,0,6,,,,,,,,,
438,1,6,4,3,65000,32500,1,6,,,,,,,,,
445,0,2,5,2,25000,11180.33989,0,6,,,,,,,,,
467,0,7,3,4,75000,43301.27019,1,6,,,,,,,,,
472,0,1,1,2,15000,15000,0,6,,,,,,,,,
476,1,4,1,1,45000,45000,1,6,,,,,,,,,
477,0,3,1,6,35000,35000,1,6,,,,,,,,,
480,0,6,4,1,65000,32500,1,6,,,,,,,,,
497,0,4,1,2,45000,45000,1,6,,,,,,,,,
529,0,6,3,4,65000,37527.7675,1,6,,,,,,,,,
530,1,4,3,2,45000,25980.76211,0,6,,,,,,,,,
537,0,2,1,2,25000,25000,0,6,,,,,,,,,
554,1,2,3,2,25000,14433.75673,0,6,,,,,,,,,
564,1,10,1,6,125000,125000,1,6,,,,,,,,,
583,1,3,2,2,35000,24748.73734,0,6,,,,,,,,,
587,0,0,1,6,5000,5000,0,6,,,,,,,,,
603,0,5,2,4,55000,38890.87297,1,6,,,,,,,,,
153,1,8,2,4,85000,60104.0764,1,6.5,,,,,,,,,
7,1,3,2,4,35000,24748.73734,0,7,,,,,,,,,
10,1,2,10,2,25000,7905.69415,0,7,,,,,,,,,
37,1,7,3,4,75000,43301.27019,1,7,,,,,,,,,
51,0,3,6,2,35000,14288.69017,0,7,,,,,,,,,
67,0,5,5,3,55000,24596.74775,0,7,,,,,,,,,
74,1,8,6,2,85000,34701.10469,1,7,,,,,,,,,
79,1,4,2,2,45000,31819.80515,1,7,,,,,,,,,
91,0,7,3,4,75000,43301.27019,1,7,,,,,,,,,
93,1,2,5,4,25000,11180.33989,0,7,,,,,,,,,
97,1,10,5,2,125000,55901.69944,1,7,,,,,,,,,
136,0,5,1,4,55000,55000,1,7,,,,,,,,,
141,1,4,5,2,45000,20124.6118,0,7,,,,,,,,,
156,0,5,2,4,55000,38890.87297,1,7,,,,,,,,,
167,1,5,2,2,55000,38890.87297,1,7,,,,,,,,,
175,1,3,1,4,35000,35000,1,7,,,,,,,,,
178,1,4,3,4,45000,25980.76211,0,7,,,,,,,,,
181,1,2,4,2,25000,12500,0,7,,,,,,,,,
225,1,3,4,2,35000,17500,0,7,,,,,,,,,
250,1,6,4,4,65000,32500,1,7,,,,,,,,,
291,0,0,2,6,5000,3535.533906,0,7,,,,,,,,,
325,0,2,1,4,25000,25000,0,7,,,,,,,,,
327,1,0,1,1,5000,5000,0,7,,,,,,,,,
363,0,5,4,3,55000,27500,1,7,,,,,,,,,
408,0,5,1,4,55000,55000,1,7,,,,,,,,,
410,1,3,3,4,35000,20207.25942,0,7,,,,,,,,,
428,1,4,3,2,45000,25980.76211,0,7,,,,,,,,,
431,1,3,4,3,35000,17500,0,7,,,,,,,,,
436,1,4,2,2,45000,31819.80515,1,7,,,,,,,,,
479,1,4,1,2,45000,45000,1,7,,,,,,,,,
510,1,3,2,4,35000,24748.73734,0,7,,,,,,,,,
512,0,0,1,1,5000,5000,0,7,,,,,,,,,
534,1,2,1,4,25000,25000,0,7,,,,,,,,,
630,1,10,1,5,125000,125000,1,7,,,,,,,,,
484,1,0,1,4,5000,5000,0,7.5,,,,,,,,,
15,1,2,1,4,25000,25000,0,8,,,,,,,,,
23,1,0,3,2,5000,2886.751346,0,8,,,,,,,,,
26,1,7,3,4,75000,43301.27019,1,8,,,,,,,,,
41,1,3,4,2,35000,17500,0,8,,,,,,,,,
55,1,6,3,4,65000,37527.7675,1,8,,,,,,,,,
121,1,5,4,4,55000,27500,1,8,,,,,,,,,
142,0,2,2,2,25000,17677.66953,0,8,,,,,,,,,
151,1,3,1,6,35000,35000,1,8,,,,,,,,,
189,1,1,3,1,15000,8660.254038,0,8,,,,,,,,,
212,0,4,2,2,45000,31819.80515,1,8,,,,,,,,,
213,1,1,1,4,15000,15000,0,8,,,,,,,,,
218,1,0,2,3,5000,3535.533906,0,8,,,,,,,,,
226,1,2,1,4,25000,25000,0,8,,,,,,,,,
228,0,0,1,1,5000,5000,0,8,,,,,,,,,
246,0,3,4,4,35000,17500,0,8,,,,,,,,,
264,0,5,4,4,55000,27500,1,8,,,,,,,,,
269,1,5,3,2,55000,31754.26481,1,8,,,,,,,,,
277,1,7,4,4,75000,37500,1,8,,,,,,,,,
305,1,3,3,1,35000,20207.25942,0,8,,,,,,,,,
